Indicator Name,Indicator Code,numCountries
"2005 PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP.05,184
"2005 PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP.05,184
Access to electricity (% of population),EG.ELC.ACCS.ZS,258
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,258
"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,258
Access to non-solid fuel (% of population),EG.NSF.ACCS.ZS,237
"Access to non-solid fuel, rural (% of rural population)",EG.NSF.ACCS.RU.ZS,237
"Access to non-solid fuel, urban (% of urban population)",EG.NSF.ACCS.UR.ZS,237
Account at a financial institution (% age 15+) [ts],WP_time_01.1,168
"Account at a financial institution, female (% age 15+) [ts]",WP_time_01.3,168
"Account at a financial institution, income, poorest 40% (% ages 15+) [ts]",WP_time_01.8,168
"Account at a financial institution, income, richest 60% (% ages 15+) [ts]",WP_time_01.9,168
"Account at a financial institution, male (% age 15+) [ts]",WP_time_01.2,168
Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,91
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,96
Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,88
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,37
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,229
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,229
"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,234
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,199
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,212
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,220
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,199
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,212
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,220
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,212
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,166
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,204
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,158
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,239
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,200
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,242
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,206
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,239
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,193
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,251
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,215
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,227
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,251
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,215
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,224
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,224
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,180
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,226
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,180
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,218
Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,186
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,240
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,217
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,209
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,209
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,204
Age dependency ratio (% of working-age population),SP.POP.DPND,241
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,241
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,241
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,118
Agricultural land (% of land area),AG.LND.AGRI.ZS,256
Agricultural land (sq. km),AG.LND.AGRI.K2,257
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,233
"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,230
Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,250
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,263
Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,251
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,263
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,239
Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,240
Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,222
"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,236
"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,230
"Agriculture, value added (constant 2010 US$)",NV.AGR.TOTL.KD,225
"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,186
"Agriculture, value added (current LCU)",NV.AGR.TOTL.CN,194
"Agriculture, value added (current US$)",NV.AGR.TOTL.CD,236
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,230
"Air transport, passengers carried",IS.AIR.PSGR,230
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,230
"All education staff compensation, primary (% of total expenditure in primary public institutions)",SE.XPD.MPRM.ZS,162
"All education staff compensation, secondary (% of total expenditure in secondary public institutions)",SE.XPD.MSEC.ZS,161
"All education staff compensation, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.MTER.ZS,134
"All education staff compensation, total (% of total expenditure in public institutions)",SE.XPD.MTOT.ZS,158
Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,186
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,226
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,225
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,226
"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,222
"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,226
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,94
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,94
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,119
Aquaculture production (metric tons),ER.FSH.AQUA.MT,235
Arable land (% of land area),AG.LND.ARBL.ZS,254
Arable land (hectares per person),AG.LND.ARBL.HA.PC,254
Arable land (hectares),AG.LND.ARBL.HA,208
ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,135
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,216
"Armed forces personnel, total",MS.MIL.TOTL.P1,219
Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,161
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,231
"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,229
Average grace period on new external debt commitments (years),DT.GPA.DPPG,132
"Average grace period on new external debt commitments, official (years)",DT.GPA.OFFT,132
"Average grace period on new external debt commitments, private (years)",DT.GPA.PRVT,132
Average grant element on new external debt commitments (%),DT.GRE.DPPG,132
"Average grant element on new external debt commitments, official (%)",DT.GRE.OFFT,132
"Average grant element on new external debt commitments, private (%)",DT.GRE.PRVT,132
Average interest on new external debt commitments (%),DT.INR.DPPG,132
"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,132
"Average interest on new external debt commitments, private (%)",DT.INR.PRVT,132
Average maturity on new external debt commitments (years),DT.MAT.DPPG,132
"Average maturity on new external debt commitments, official (years)",DT.MAT.OFFT,132
"Average maturity on new external debt commitments, private (years)",DT.MAT.PRVT,132
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,191
Average time to clear exports through customs (days),IC.CUS.DURS.EX,181
Average transaction cost of remittances (%),SI.RMT.COST.ZS,139
"Average working hours of children, study and work, ages 7-14 (hours per week)",SL.TLF.0714.SW.TM,90
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",SL.TLF.0714.SW.FE.TM,90
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM,90
"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,85
"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM,83
"Average working hours of children, working only, male, ages 7-14 (hours per week)",SL.TLF.0714.WK.MA.TM,85
Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,176
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,147
Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,184
Battle-related deaths (number of people),VC.BTL.DETH,115
Benefits incidence in poorest quintile (%) - All Labor Market,per_lm_alllm.ben_q1_tot,37
Benefits incidence in poorest quintile (%) - All Social Assistance,per_sa_allsa.ben_q1_tot,89
Benefits incidence in poorest quintile (%) - All Social Insurance,per_si_allsi.ben_q1_tot,92
Benefits incidence in poorest quintile (%) -All Social Protection and Labor,per_allsp.ben_q1_tot,97
"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,165
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,165
"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,165
"Bird species, threatened",EN.BIR.THRD.NO,261
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,257
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,238
"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,144
"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS,165
"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS,165
"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS,165
Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,181
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,208
Broad money (current LCU),FM.LBL.BMNY.CN,166
Broad money growth (annual %),FM.LBL.BMNY.ZG,165
Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,165
